CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
AMRE017;AME VENTA REG. ESP. 17;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE018;AME VENTA REG. ESP. 18;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE019;AME VENTA REG. ESP. 19;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE020;AME VENTA REG. ESP. 20;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE027;AME VENTA REG. ESP. 27;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;;ZONA ESPANOLA
AMRE028;AME VENTA REG. ESP. 28;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE029;AME VENTA REG. ESP. 29;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE030;AME VENTA REG. ESP. 30;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE031;AME VENTA REG. ESP. 31;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE032;AME VENTA REG. ESP. 32;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE033;UOF TRARGISA MERCADO;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE034;AME VENTA REG. ESP. 34;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE035;UOF ENAGAS MERCADO;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE036;AME VENTA REG. ESP. 36;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE037;AME AGENTE VENDEDOR 037;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
